	Translation	Positive	Negative	EmotionRationale
1 here s a thread for anyone who s been conned into believing donald trump cares about the us military or our troops faked a disability 5 times to avoid a war he didn t oppose 5 non rich guys went to vietnam in his place tried to kick homeless vets off 5th ave	1 here s a thread for anyone who s been conned into believing donald trump cares about the us military or our troops faked a disability 5 times to avoid a war he didn t oppose 5 non rich guys went to vietnam in his place tried to kick homeless vets off 5th ave	2	-3	 1[0] here[0] s[0] a[0] thread[0] for[0] anyone[0] who[0] s[0] been[0] conned[0] into[0] believing[0] donald[0] trump[0] cares[1] about[0] the[0] us[0] military[0] or[0] our[0] troops[0] faked[-1] a[0] disability[0] 5[0] times[0] to[0] avoid[-1] a[0] war[-2] he[0] didn[0] t[0] oppose[-1] 5[0] non[0] rich[0] guys[0] went[0] to[0] vietnam[0] in[0] his[0] place[0] tried[0] to[0] kick[-1] homeless[0] vets[0] off[0] 5th[0] ave[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
do you not understand how massive of an opportunity 2 2 for a third party such as to attract literally millions of voters the competition will never be this easy again	do you not understand how massive of an opportunity 2 2 for a third party such as to attract literally millions of voters the competition will never be this easy again	2	-1	 do[0] you[0] not[0] understand[0] how[0] massive[0] of[0] an[0] opportunity[0] 2[0] 2[0] for[0] a[0] third[0] party[0] such[0] as[0] to[0] attract[1] literally[0] millions[0] of[0] voters[0] the[0] competition[0] will[0] never[0] be[0] this[0] easy[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
trump needs to stop protecting dead confederate soldiers and start protecting living american ones	trump needs to stop protecting dead confederate soldiers and start protecting living american ones	1	-3	 trump[0] needs[0] to[0] stop[0] protecting[0] dead[-2] confederate[0] soldiers[0] and[0] start[0] protecting[0] living[0] american[0] ones[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
us rep and iraq war vet seth moulton on trump russian bounties if this is not treasonous behavior i don t know what is if i led my marines into an ambush because i didn t bother to read the intelligence report i was given i wouldn t be tweeting i d be in prison	us rep and iraq war vet seth moulton on trump russian bounties if this is not treasonous behavior i don t know what is if i led my marines into an ambush because i didn t bother to read the intelligence report i was given i wouldn t be tweeting i d be in prison	3	-3	 us[0] rep[0] and[0] iraq[0] war[-2] vet[0] seth[0] moulton[0] on[0] trump[0] russian[0] bounties[0] if[0] this[0] is[0] not[0] treasonous[-2][NegatedDueToPreviousWord] behavior[0] i[0] don[0] t[0] know[0] what[0] is[0] if[0] i[0] led[0] my[0] marines[0] into[0] an[0] ambush[-1] because[0] i[0] didn[0] t[0] bother[-1] to[0] read[0] the[0] intelligence[0] report[0] i[0] was[0] given[0] i[0] wouldn[0] t[0] be[0] tweeting[0] i[0] d[0] be[0] in[0] prison[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
128k deaths later these words will haunt forever url	128k deaths later these words will haunt forever url	1	-3	 128k[0] deaths[-2] later[0] these[0] words[0] will[0] haunt[-1] forever[0] url[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the pandemic cripples parts of america politico reports that four senior trump officials jared kushner mark meadows kayleigh mcenany and hope hicks think it s a bad idea for trump to talk about the virus that s killed more than 126 url	as the pandemic cripples parts of america politico reports that four senior trump officials jared kushner mark meadows kayleigh mcenany and hope hicks think it s a bad idea for trump to talk about the virus that s killed more than 126 url	3	-4	 as[0] the[0] pandemic[0] cripples[-1] parts[0] of[0] america[0] politico[0] reports[0] that[0] four[0] senior[0] trump[0] officials[0] jared[0] kushner[0] mark[0] meadows[0] kayleigh[0] mcenany[0] and[0] hope[2] hicks[0] think[0] it[0] s[0] a[0] bad[-1] idea[0] for[0] trump[0] to[0] talk[0] about[0] the[0] virus[0] that[0] s[0] killed[-3] more[0] than[0] 126[0] url[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
fox news is really all in on the biden cognitive decline smear has a good deconstruction of the scam url	fox news is really all in on the biden cognitive decline smear has a good deconstruction of the scam url	2	-2	 fox[0] news[0] is[0] really[0] all[0] in[0] on[0] the[0] biden[0] cognitive[0] decline[-1] smear[-1] has[0] a[0] good[1] deconstruction[0] of[0] the[0] scam[0] url[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the great awaking is happening maga2 2 url	the great awaking is happening maga2 2 url	3	-1	 the[0] great[2] awaking[0] is[0] happening[0] maga2[0] 2[0] url[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is no confirmation that russia has stopped paying a bounty for dead american troops and trump still has not condemned them	there is no confirmation that russia has stopped paying a bounty for dead american troops and trump still has not condemned them	2	-3	 there[0] is[0] no[0] confirmation[0] that[0] russia[0] has[0] stopped[0] paying[0] a[0] bounty[0] for[0] dead[-2] american[0] troops[0] and[0] trump[0] still[0] has[0] not[0] condemned[-1][NegatedDueToPreviousWord] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
can t wait until putin makes trump your maiden name	can t wait until putin makes trump your maiden name	1	-1	 can[0] t[0] wait[0] until[0] putin[0] makes[0] trump[0] your[0] maiden[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trump said experience was his edge over joe biden a new poll shows voters disagree by a remarkable margin url	trump said experience was his edge over joe biden a new poll shows voters disagree by a remarkable margin url	1	-2	 trump[0] said[0] experience[0] was[0] his[0] edge[0] over[0] joe[0] biden[0] a[0] new[0] poll[0] shows[0] voters[0] disagree[-1] by[0] a[0] remarkable[0] margin[0] url[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
never trump republicans may make some barbed quips and their organizations might make some cutting ads but they are not your friends they have no interest in progressive change when trump is gone they ll call for austerity at home and war abroad while working for romney 2 24	never trump republicans may make some barbed quips and their organizations might make some cutting ads but they are not your friends they have no interest in progressive change when trump is gone they ll call for austerity at home and war abroad while working for romney 2 24	2	-3	 never[0] trump[0] republicans[0] may[0] make[0] some[0] barbed[0] quips[0] and[0] their[0] organizations[0] might[0] make[0] some[0] cutting[0] ads[0] but[0] they[0] are[0] not[0] your[0] friends[1][NegatedDueToPreviousWord] they[0] have[0] no[0] interest[1] in[0] progressive[0] change[0] when[0] trump[0] is[0] gone[0] they[0] ll[0] call[0] for[0] austerity[-1] at[0] home[0] and[0] war[-2] abroad[0] while[0] working[0] for[0] romney[0] 2[0] 24[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
let s assume trump didn t read the intelligence reports that means he learned about it on friday and still played 36 holes of golf on saturday and sunday	let s assume trump didn t read the intelligence reports that means he learned about it on friday and still played 36 holes of golf on saturday and sunday	1	-1	 let[0] s[0] assume[0] trump[0] didn[0] t[0] read[0] the[0] intelligence[0] reports[0] that[0] means[0] he[0] learned[0] about[0] it[0] on[0] friday[0] and[0] still[0] played[0] 36[0] holes[0] of[0] golf[0] on[0] saturday[0] and[0] sunday[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
newt gingrich left wing media using polls to hurt trump and republicans url foxnews	newt gingrich left wing media using polls to hurt trump and republicans url foxnews	1	-3	 newt[0] gingrich[0] left[0] wing[0] media[0] using[0] polls[0] to[0] hurt[-2] trump[0] and[0] republicans[0] url[0] foxnews[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when will president trump condemn putin why won t president trump simply say he will defend our troops from russia at all costs	when will president trump condemn putin why won t president trump simply say he will defend our troops from russia at all costs	1	-2	 when[0] will[0] president[0] trump[0] condemn[-1] putin[0] why[0] won[0] t[0] president[0] trump[0] simply[0] say[0] he[0] will[0] defend[0] our[0] troops[0] from[0] russia[0] at[0] all[0] costs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you support blm burning down our black community in st paul thousands of blacks lost their jobs you are supporting blm a terrorist organization look what they did to us url	you support blm burning down our black community in st paul thousands of blacks lost their jobs you are supporting blm a terrorist organization look what they did to us url	2	-3	 you[0] support[1] blm[0] burning[-1] down[0] our[0] black[0] community[0] in[0] st[0] paul[0] thousands[0] of[0] blacks[0] lost[0] their[0] jobs[0] you[0] are[0] supporting[1] blm[0] a[0] terrorist[-2] organization[0] look[0] what[0] they[0] did[0] to[0] us[0] url[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
blm and share a hatred of jews and love for maxist theology they are perfect together	blm and share a hatred of jews and love for maxist theology they are perfect together	3	-4	 blm[0] and[0] share[0] a[0] hatred[-3] of[0] jews[0] and[0] love[2] for[0] maxist[0] theology[0] they[0] are[0] perfect[1] together[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there s no way trump is doing better is wisconsin than michigan doesn t make any sense might not be the best polling	there s no way trump is doing better is wisconsin than michigan doesn t make any sense might not be the best polling	2	-1	 there[0] s[0] no[0] way[0] trump[0] is[0] doing[0] better[0] is[0] wisconsin[0] than[0] michigan[0] doesn[0] t[0] make[0] any[0] sense[0] might[0] not[0] be[0] the[0] best[1] polling[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
donald trump says if we stop testing we won t have cases so if i stop looking at my bills i don t have them anymore	donald trump says if we stop testing we won t have cases so if i stop looking at my bills i don t have them anymore	1	-1	 donald[0] trump[0] says[0] if[0] we[0] stop[0] testing[0] we[0] won[0] t[0] have[0] cases[0] so[0] if[0] i[0] stop[0] looking[0] at[0] my[0] bills[0] i[0] don[0] t[0] have[0] them[0] anymore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
today marks a historic day for our nation on january 29 2 2 president signed the usmca into law and today it will officially go into effect the new era of north american trade starts today	today marks a historic day for our nation on january 29 2 2 president signed the usmca into law and today it will officially go into effect the new era of north american trade starts today	1	-1	 today[0] marks[0] a[0] historic[0] day[0] for[0] our[0] nation[0] on[0] january[0] 29[0] 2[0] 2[0] president[0] signed[0] the[0] usmca[0] into[0] law[0] and[0] today[0] it[0] will[0] officially[0] go[0] into[0] effect[0] the[0] new[0] era[0] of[0] north[0] american[0] trade[0] starts[0] today[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every political appointee who works for trump and remains silent is endorsing and enabling the notion that russian bounties on our troops are a hoax	every political appointee who works for trump and remains silent is endorsing and enabling the notion that russian bounties on our troops are a hoax	1	-1	 every[0] political[0] appointee[0] who[0] works[0] for[0] trump[0] and[0] remains[0] silent[0] is[0] endorsing[0] and[0] enabling[0] the[0] notion[0] that[0] russian[0] bounties[0] on[0] our[0] troops[0] are[0] a[0] hoax[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that we knew putin may have a policy to target our troops while trump is regularly on the phone and inviting putin back to the g7 over objection of the same allies warned about the bounties shows a total lack of care for our people and our country 4 4	that we knew putin may have a policy to target our troops while trump is regularly on the phone and inviting putin back to the g7 over objection of the same allies warned about the bounties shows a total lack of care for our people and our country 4 4	2	-3	 that[0] we[0] knew[0] putin[0] may[0] have[0] a[0] policy[0] to[0] target[0] our[0] troops[0] while[0] trump[0] is[0] regularly[0] on[0] the[0] phone[0] and[0] inviting[0] putin[0] back[0] to[0] the[0] g7[0] over[0] objection[-1] of[0] the[0] same[0] allies[0] warned[0] about[0] the[0] bounties[0] shows[0] a[0] total[0] lack[-1][-1 LastWordBoosterStrength] of[0] care[1] for[0] our[0] people[0] and[0] our[0] country[0] 4[0] 4[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
their best not being the gang	their best not being the gang	2	-1	 their[0] best[1] not[0] being[0] the[0] gang[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
debt to the world bank no but speaking of debt trump blew up the deficit in a great economy	debt to the world bank no but speaking of debt trump blew up the deficit in a great economy	3	-2	 debt[0] to[0] the[0] world[0] bank[0] no[0] but[0] speaking[0] of[0] debt[0] trump[0] blew[0] up[0] the[0] deficit[-1] in[0] a[0] great[2] economy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
url conservative media has falsely spread misinformation they have smeared the name of the free press and they re complicit to treason with donald trump	url conservative media has falsely spread misinformation they have smeared the name of the free press and they re complicit to treason with donald trump	1	-3	 url[0] conservative[0] media[0] has[0] falsely[0] spread[0] misinformation[-1] they[0] have[0] smeared[-1] the[0] name[0] of[0] the[0] free[0] press[0] and[0] they[0] re[0] complicit[0] to[0] treason[-2] with[0] donald[0] trump[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
horrible blm chant pigs in a blanket fry em like bacon maybe our great police who have been neutralized and scorned by a mayor who hates amp disrespects them won t let this symbol of hate be affixed to new york s greatest street spend this money fighting crime instead	horrible blm chant pigs in a blanket fry em like bacon maybe our great police who have been neutralized and scorned by a mayor who hates amp disrespects them won t let this symbol of hate be affixed to new york s greatest street spend this money fighting crime instead	3	-4	 horrible[-3] blm[0] chant[0] pigs[0] in[0] a[0] blanket[0] fry[0] em[0] like[1] bacon[0] maybe[0] our[0] great[2] police[0] who[0] have[0] been[0] neutralized[-1] and[0] scorned[-1] by[0] a[0] mayor[0] who[0] hates[-3] amp[0] disrespects[0] them[0] won[0] t[0] let[0] this[0] symbol[0] of[0] hate[-3] be[0] affixed[0] to[0] new[0] york[0] s[0] greatest[2] street[0] spend[0] this[0] money[0] fighting[-2] crime[-1] instead[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
joe biden called a reporter a lying dog face yesterday where is the media saying that he s attacking the press	joe biden called a reporter a lying dog face yesterday where is the media saying that he s attacking the press	1	-4	 joe[0] biden[0] called[0] a[0] reporter[0] a[0] lying[-3] dog[0] face[0] yesterday[0] where[0] is[0] the[0] media[0] saying[0] that[0] he[0] s[0] attacking[-2] the[0] press[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and there goes any remaining hope naive though it may have been that trump will moderate during the final six months of his term url	and there goes any remaining hope naive though it may have been that trump will moderate during the final six months of his term url	3	-2	 and[0] there[0] goes[0] any[0] remaining[0] hope[2] naive[-1] though[0] it[0] may[0] have[0] been[0] that[0] trump[0] will[0] moderate[0] during[0] the[0] final[0] six[0] months[0] of[0] his[0] term[0] url[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it s pretty strange that we are banned from traveling to europe and it s just a ho hum minor news story had i said in 2 17 that trump would screw something up so bad that us citizens would get banned from europe that would ve sounded like an unimaginably insane case of tds	it s pretty strange that we are banned from traveling to europe and it s just a ho hum minor news story had i said in 2 17 that trump would screw something up so bad that us citizens would get banned from europe that would ve sounded like an unimaginably insane case of tds	3	-2	 it[0] s[0] pretty[2] strange[0] that[0] we[0] are[0] banned[0] from[0] traveling[0] to[0] europe[0] and[0] it[0] s[0] just[0] a[0] ho[0] hum[0] minor[0] news[0] story[0] had[0] i[0] said[0] in[0] 2[0] 17[0] that[0] trump[0] would[0] screw[0] something[0] up[0] so[0] bad[-1] that[0] us[0] citizens[0] would[0] get[0] banned[0] from[0] europe[0] that[0] would[0] ve[0] sounded[0] like[1] an[0] unimaginably[0] insane[-1] case[0] of[0] tds[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
how many blankets can aoc buy for the poor migrant children at the border with that black lives matters graffiti deblasio is painting in front of trump tower	how many blankets can aoc buy for the poor migrant children at the border with that black lives matters graffiti deblasio is painting in front of trump tower	1	-2	 how[0] many[0] blankets[0] can[0] aoc[0] buy[0] for[0] the[0] poor[-1] migrant[0] children[0] at[0] the[0] border[0] with[0] that[0] black[0] lives[0] matters[0] graffiti[0] deblasio[0] is[0] painting[0] in[0] front[0] of[0] trump[0] tower[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after all the ways they ve debased themselves what s a little treason thrown into the mix senate republicans defend trump s response on russian bounties url	after all the ways they ve debased themselves what s a little treason thrown into the mix senate republicans defend trump s response on russian bounties url	1	-3	 after[0] all[0] the[0] ways[0] they[0] ve[0] debased[0] themselves[0] what[0] s[0] a[0] little[0] treason[-2] thrown[0] into[0] the[0] mix[0] senate[0] republicans[0] defend[0] trump[0] s[0] response[0] on[0] russian[0] bounties[0] url[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
never forget obama amp biden committed treason retweet if you believe it to be true	never forget obama amp biden committed treason retweet if you believe it to be true	2	-3	 never[0] forget[0] obama[0] amp[0] biden[0] committed[0] treason[-2] retweet[0] if[0] you[0] believe[0] it[0] to[0] be[0] true[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they said it couldn t be done and did it starting today michigan s farmers and manufacturers will no longer be taken advantage of by nafta s outdated terms the usmca is a great victory for the great lakes state url	they said it couldn t be done and did it starting today michigan s farmers and manufacturers will no longer be taken advantage of by nafta s outdated terms the usmca is a great victory for the great lakes state url	3	-1	 they[0] said[0] it[0] couldn[0] t[0] be[0] done[0] and[0] did[0] it[0] starting[0] today[0] michigan[0] s[0] farmers[0] and[0] manufacturers[0] will[0] no[0] longer[0] be[0] taken[0] advantage[0] of[0] by[0] nafta[0] s[0] outdated[0] terms[0] the[0] usmca[0] is[0] a[0] great[2] victory[0] for[0] the[0] great[2] lakes[0] state[0] url[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hundreds of former officials who served under george w bush are about to endorse joe biden for president url via	hundreds of former officials who served under george w bush are about to endorse joe biden for president url via	1	-1	 hundreds[0] of[0] former[0] officials[0] who[0] served[0] under[0] george[0] w[0] bush[0] are[0] about[0] to[0] endorse[0] joe[0] biden[0] for[0] president[0] url[0] via[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right now biden is demonstrating the fatal flaw in the trump strategy to paint biden as senile trump has not been this coherent or in control of the facts on a single day in his life	right now biden is demonstrating the fatal flaw in the trump strategy to paint biden as senile trump has not been this coherent or in control of the facts on a single day in his life	1	-3	 right[0] now[0] biden[0] is[0] demonstrating[0] the[0] fatal[-2] flaw[-1] in[0] the[0] trump[0] strategy[0] to[0] paint[0] biden[0] as[0] senile[-1] trump[0] has[0] not[0] been[0] this[0] coherent[0] or[0] in[0] control[0] of[0] the[0] facts[0] on[0] a[0] single[0] day[0] in[0] his[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
according to e jean carroll trump s attorneys have withdrawn their claim that trump can t be sued based on his residential status in her defamation case url	according to e jean carroll trump s attorneys have withdrawn their claim that trump can t be sued based on his residential status in her defamation case url	1	-2	 according[0] to[0] e[0] jean[0] carroll[0] trump[0] s[0] attorneys[0] have[0] withdrawn[0] their[0] claim[0] that[0] trump[0] can[0] t[0] be[0] sued[0] based[0] on[0] his[0] residential[0] status[0] in[0] her[0] defamation[-1] case[0] url[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
3 while the democrat party press and the biden campaign will exploit this latest bs rino move which is the intent keep fighting don t get down redouble your efforts url	3 while the democrat party press and the biden campaign will exploit this latest bs rino move which is the intent keep fighting don t get down redouble your efforts url	1	-3	 3[0] while[0] the[0] democrat[0] party[0] press[0] and[0] the[0] biden[0] campaign[0] will[0] exploit[0] this[0] latest[0] bs[0] rino[0] move[0] which[0] is[0] the[0] intent[0] keep[0] fighting[-2] don[0] t[0] get[0] down[0] redouble[0] your[0] efforts[0] url[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
painting black lives matter on 5th avenue offends trump so much because he believes that the luxury avenue belongs to white people and the top 1 he didn t spend all those years denying fair housing to african americans and falsely accusing the central park 5 of rape for this	painting black lives matter on 5th avenue offends trump so much because he believes that the luxury avenue belongs to white people and the top 1 he didn t spend all those years denying fair housing to african americans and falsely accusing the central park 5 of rape for this	1	-4	 painting[0] black[0] lives[0] matter[0] on[0] 5th[0] avenue[0] offends[-2] trump[0] so[0] much[0] because[0] he[0] believes[0] that[0] the[0] luxury[0] avenue[0] belongs[0] to[0] white[0] people[0] and[0] the[0] top[0] 1[0] he[0] didn[0] t[0] spend[0] all[0] those[0] years[0] denying[0] fair[0] housing[0] to[0] african[0] americans[0] and[0] falsely[0] accusing[-1] the[0] central[0] park[0] 5[0] of[0] rape[-3] for[0] this[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
13 123 americans dead of coronavirus and he s talking about ratings barf	13 123 americans dead of coronavirus and he s talking about ratings barf	1	-3	 13[0] 123[0] americans[0] dead[-2] of[0] coronavirus[0] and[0] he[0] s[0] talking[0] about[0] ratings[0] barf[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
2 trump s whole career from real estate developer to potus is affirmatively furthering racial injustice it is time to finish the unfinished work of the civil rights movement that won t happen as long as trump is in the white house fin	2 trump s whole career from real estate developer to potus is affirmatively furthering racial injustice it is time to finish the unfinished work of the civil rights movement that won t happen as long as trump is in the white house fin	1	-1	 2[0] trump[0] s[0] whole[0] career[0] from[0] real[0] estate[0] developer[0] to[0] potus[0] is[0] affirmatively[0] furthering[0] racial[0] injustice[0] it[0] is[0] time[0] to[0] finish[0] the[0] unfinished[0] work[0] of[0] the[0] civil[0] rights[0] movement[0] that[0] won[0] t[0] happen[0] as[0] long[0] as[0] trump[0] is[0] in[0] the[0] white[0] house[0] fin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that how i feel after seeing trump talk and karena freak out in trader joe s	that how i feel after seeing trump talk and karena freak out in trader joe s	1	-2	 that[0] how[0] i[0] feel[0] after[0] seeing[0] trump[0] talk[0] and[0] karena[0] freak[-1] out[0] in[0] trader[0] joe[0] s[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
welcome to paradise in a biden presidency url	welcome to paradise in a biden presidency url	4	-1	 welcome[1] to[0] paradise[3] in[0] a[0] biden[0] presidency[0] url[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
any politician who enabled him is complicit in the turmoil our country is now experiencing i honestly don t know how they live with themselves	any politician who enabled him is complicit in the turmoil our country is now experiencing i honestly don t know how they live with themselves	1	-3	 any[0] politician[0] who[0] enabled[0] him[0] is[0] complicit[0] in[0] the[0] turmoil[-2] our[0] country[0] is[0] now[0] experiencing[0] i[0] honestly[0] don[0] t[0] know[0] how[0] they[0] live[0] with[0] themselves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the trump administration just lent a troubled trucking company 7 million the company was worth only 7 million url	the trump administration just lent a troubled trucking company 7 million the company was worth only 7 million url	1	-2	 the[0] trump[0] administration[0] just[0] lent[0] a[0] troubled[-1] trucking[0] company[0] 7[0] million[0] the[0] company[0] was[0] worth[0] only[0] 7[0] million[0] url[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for those who tried to warn us about a trump presidency did you guys expect it to be this bad or did you know it would be this bad	for those who tried to warn us about a trump presidency did you guys expect it to be this bad or did you know it would be this bad	1	-2	 for[0] those[0] who[0] tried[0] to[0] warn[0] us[0] about[0] a[0] trump[0] presidency[0] did[0] you[0] guys[0] expect[0] it[0] to[0] be[0] this[0] bad[-1] or[0] did[0] you[0] know[0] it[0] would[0] be[0] this[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because no one will watch	because no one will watch	1	-1	 because[0] no[0] one[0] will[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wp says trump stokes a cultural war by enforcing the law against mobs that tear down statues i guess we should all be like chop and let the mobs have their way no rules no laws no enforcement this story is classic one point of view bias url	wp says trump stokes a cultural war by enforcing the law against mobs that tear down statues i guess we should all be like chop and let the mobs have their way no rules no laws no enforcement this story is classic one point of view bias url	2	-3	 wp[0] says[0] trump[0] stokes[0] a[0] cultural[0] war[-2] by[0] enforcing[0] the[0] law[0] against[-1] mobs[0] that[0] tear[-1] down[0] statues[0] i[0] guess[0] we[0] should[0] all[0] be[0] like[1] chop[0] and[0] let[0] the[0] mobs[0] have[0] their[0] way[0] no[0] rules[0] no[0] laws[0] no[0] enforcement[-1] this[0] story[0] is[0] classic[0] one[0] point[0] of[0] view[0] bias[0] url[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
